,count,unique,top,freq,mean,std,min,25%,50%,75%,max
bite_id,336.0,,,,167.5,97.13907555664713,0.0,83.75,167.5,251.25,335.0
start_frame,336.0,,,,4568.5952380952385,2599.888528581924,0.0,2297.0,4638.0,6879.5,8947.0
end_frame,336.0,,,,4594.261904761905,2598.839730176033,80.0,2316.25,4665.5,6890.0,8959.0
start_time_sec,336.0,,,,144.83276137253193,82.42118533842401,0.0,72.81906921818026,147.0330182994863,218.0926367812238,283.63613944060023
end_time_sec,336.0,,,,145.64644129268862,82.38793652531363,2.536145205683248,73.42932915829779,147.9048182139399,218.42550583946974,284.0165612214527
duration_sec,336.0,,,,0.8453817352277492,0.9026627928505108,0.0634036301420812,0.2853163356393653,0.5706326712787307,1.0461598973443398,6.657381164918526
n_chews,336.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,336.0,,,,2.977471772045702,3.3711969148310694,0.1502092151895344,0.9558768239334008,1.752440843877901,3.5048816877558027,15.771967594901112
avg_chew_time_sec,336.0,,,,0.6134678618806726,0.8839737707811781,0.0317018150710406,0.0951054452131218,0.2853163356393653,0.6974399315628932,6.34036301420812
chew_side,336,2,right,201,,,,,,,
mouth_open_frames,336.0,,,,19.351190476190474,27.884011335006566,1.0,3.0,9.0,22.0,200.0
