,count,mean,std,min,25%,50%,75%,max
bite_id,530.0,264.5,153.1420908829444,0.0,132.25,264.5,396.75,529.0
start_frame,530.0,5747.686792452831,3455.009539600263,0.0,2650.75,5521.5,8737.5,11941.0
end_frame,530.0,5769.4301886792455,3456.7762088218974,22.0,2652.5,5527.5,8804.0,12053.0
start_time_sec,530.0,171.46582143770198,103.07034293527356,0.0,79.07755634367557,164.71818442010925,260.6583602953373,356.22563436756764
end_time_sec,530.0,172.11447357019173,103.12304646631738,0.6563071732758134,79.12976259609523,164.8971772855481,262.64219788728457,359.5668345224263
duration_sec,530.0,0.6784842767295587,0.8515851244293499,0.0596642884796194,0.2088250096786679,0.4176500193573358,0.8054678944748619,8.203839665947667
n_chews,530.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,530.0,3.9288207670299498,4.118557308770579,0.1218941423429787,1.241514412752561,2.394349224594225,4.78869844918845,16.760444572159575
avg_chew_time_sec,530.0,0.5178972814160171,0.8144957803627993,0.0298321442398097,0.0894964327194291,0.2684892981582873,0.596642884796194,8.144175377468049
mouth_open_frames,530.0,17.360377358490567,27.302622762057116,1.0,3.0,9.0,20.0,273.0
