,count,unique,top,freq,mean,std,min,25%,50%,75%,max
frame,79373.0,,,,6042.754034747332,3485.20379586729,0.0,3053.0,6053.0,9061.0,12053.0
time_sec,79373.0,,,,180.26830997027471,103.97110234344544,0.0,91.07753636413916,180.5739690835684,270.3090589569161,359.56683452242686
landmark_id,79373.0,,,,135.28571428571428,117.55524373450666,13.0,14.0,93.0,291.0,323.0
landmark_name,79373,7,upper_lip,11339,,,,,,,
x_norm,79373.0,,,,0.523593884235956,0.07175562049426486,0.3308213949203491,0.4704747200012207,0.5152356028556824,0.5656390190124512,0.7543410062789917
y_norm,79373.0,,,,0.33744666518277483,0.07285455759565479,0.151963859796524,0.2866914272308349,0.3401868343353271,0.3761048018932342,0.6278710961341858
z_norm,79373.0,,,,0.025486144428159007,0.045568111777261534,-0.0447260476648807,-0.0093113109469413,0.0056089628487825,0.0594095736742019,0.1898418664932251
x_px,79373.0,,,,1583.3479059295307,216.98899637465686,1000.4038982391356,1422.7155532836914,1558.0724630355835,1710.4923934936523,2281.127202987671
y_px,79373.0,,,,640.4737705169066,138.2779503165528,288.42740589380264,544.1403288841248,645.6746115684509,713.8469139933586,1191.6993404626846
