,count,mean,std,min,25%,50%,75%,max
frame,12054.0,6026.5,3479.8344069797345,0.0,3013.25,6026.5,9039.75,12053.0
time_sec,12054.0,179.78341726121315,103.81092195967209,0.0,89.89170863060659,179.78341726121317,269.67512589181973,359.5668345224263
has_face,12054.0,0.9406835905093744,0.2362257446604944,0.0,1.0,1.0,1.0,1.0
mouth_open_px,11339.0,25.662095203305544,38.66660753393367,0.0311899966583387,3.6124915527725214,9.022185334451423,23.977921699468524,241.0688512149401
mouth_width_px,11339.0,178.68187688998262,29.352166290277715,30.348457577406432,159.1351033472958,177.42914245253436,197.86228659399765,321.5852015119749
jaw_left_y_px,11339.0,433.9666278290311,40.214781554819055,288.42740589380264,408.85962322354317,435.58864441514015,456.97185288369656,865.5658336281776
jaw_right_y_px,11339.0,518.6502333878761,47.96943710980014,362.3275173306465,482.8217296898365,514.7856258749962,549.9078181087971,895.198382973671
mouth_open_smooth,12054.0,24.8718308192772,37.80782699276956,0.0311899966583387,3.6296125437747992,8.92054497471597,23.26406146306694,241.0688512149401
mouth_is_open,12054.0,0.7633150821304131,0.425064885342057,0.0,1.0,1.0,1.0,1.0
phase_open,12054.0,-8.296001327360213e-05,0.29641514165402283,-1.0,0.0,0.0,0.0,1.0
bite_id,12054.0,276.281068524971,153.87446995768045,0.0,149.0,275.0,409.0,529.0
