,count,mean,std,min,25%,50%,75%,max
bite_id,2341.0,192.31183255019224,130.52278571460292,0.0,83.0,174.0,284.0,529.0
start_frame,2341.0,5560.1730029901755,4081.8461072331106,0.0,2303.0,4943.0,7957.0,21437.0
end_frame,2341.0,5593.134557881247,4091.363995208462,22.0,2327.0,4989.0,7996.0,21437.0
start_time_sec,2341.0,164.3161136856046,106.7406137087118,0.0,73.30464593114225,154.54725352112644,246.2914012869144,443.3231903445176
end_time_sec,2341.0,165.23817751930218,106.79573510530318,0.6563071732758134,74.0237381908798,155.0852793275306,247.08394666369043,446.02333158956657
duration_sec,2341.0,0.9532876971707784,1.3293320188420383,0.0166926804267809,0.2969985654668747,0.6009364953641124,1.12,25.84026930065684
n_chews,2341.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,2341.0,3.0427945038544246,3.8950131619894064,0.0386992870842325,0.8928571428571428,1.6640693446219998,3.367019629970346,59.906496406392
avg_chew_time_sec,2341.0,0.6782028591326178,1.2779105384689984,0.0166926804267809,0.1168487629874663,0.2853163356393653,0.7159714617554328,25.55649373340156
mouth_open_frames,2341.0,24.59333618111918,57.599630726663904,1.0,4.0,9.0,24.0,1531.0
