,count,mean,std,min,25%,50%,75%,max
frame,79534.0,6718.925289813162,4936.53678287716,0.0,2840.0,5863.0,9302.75,21437.0
time_sec,79534.0,171.02250400951905,106.79014679643993,0.0,80.48673972089392,162.11389611956548,253.74391274744914,446.02333158956657
has_face,79534.0,0.9774436090225563,0.14848527676760115,0.0,1.0,1.0,1.0,1.0
mouth_open_px,77740.0,11.867636967898552,25.83947569285706,0.0009045369633446,0.9297203368526399,2.168415869074151,8.550782396900484,243.466546425987
mouth_width_px,77740.0,110.14370177309732,47.9698312142266,30.348457577406432,70.48580636577805,95.76100727854515,142.44357568915513,396.74215354429367
jaw_left_y_px,77740.0,361.4449434971027,173.47799456672428,14.881811253726482,241.1279658973217,311.52555227279663,425.9428881257772,1233.053871512413
jaw_right_y_px,77740.0,389.08403369638734,178.13932042170427,31.59813478589058,242.968318015337,368.5192322731018,481.2690921276808,1284.9095460176468
mouth_open_smooth,79534.0,12.249176886295652,26.355428944843222,0.0009045369633446,0.9419009241846928,2.244875491962658,8.97364318520114,243.466546425987
mouth_is_open,79534.0,0.7238790957326426,0.4470801534862773,0.0,0.0,1.0,1.0,1.0
phase_open,79534.0,-1.2573239117861543e-05,0.24234343026381072,-1.0,0.0,0.0,0.0,1.0
bite_id,79534.0,169.10005783689994,121.60977476478813,0.0,70.0,148.0,248.0,529.0
