sample_id,video_id,person_id,data_path,duration_sec,frame_count,jaw_opening_amplitude_mean,jaw_opening_amplitude_std,jaw_opening_amplitude_p95,mouth_width_mean,mouth_open_to_width_ratio_mean,lateral_jaw_displacement_mean_abs,lateral_jaw_displacement_std,left_right_asymmetry_ratio_from_jaw,dominant_mouth_open_frequency_hz,pause_ratio,rhythm_variance_from_smooth,estimated_chew_rate_hz_from_timeseries,bite_count,chew_cycle_count,chew_rate_hz_from_bites_mean,chew_rate_hz_from_bites_std,chew_interval_mean_sec,chew_interval_std_sec,chew_interval_cv,pause_ratio_from_bites,chew_side_left_ratio,chew_side_right_ratio,chew_side_balance_abs_diff,lip_landmark_rows,lip_x_range_px,lip_y_range_px,lip_z_std_norm,chew_rate_target_candidate_hz
1,1,nan,data/1,269.534573668825,12201,10.830082366551268,16.98599787598186,41.342059243306494,91.45319421589645,0.11071831522845255,15.111178615420517,17.83350612737427,1.035074243065281,0.003709795095650908,0.36210146709286123,280.4041807931407,1.758269759796291,469,469,6.116876363056455,6.70588059511751,0.5746539801861088,0.7041651601254615,1.225372457870054,0.3621014670928613,0.8187633262260128,0.1812366737739872,0.6375266524520256,82201,820.8664110898972,613.2290749549866,0.0398324721510849,6.116876363056455
10,10,nan,data/10,122.97832949308756,7378,8.275755970261725,17.670166302635796,49.75578072097843,158.23614755853643,0.050873290769128124,51.503459971026196,35.54606136427501,1.0774621274012222,0.008130411805358034,0.6199512062889672,310.49637514371676,1.9806369324953321,243,243,5.410728388537838,6.740396602804905,0.5033528678066772,0.4368558672542629,0.8678918810134726,0.6199512062889673,0.9423868312757202,0.05761316872427984,0.8847736625514403,51324,897.0376083254814,574.1534038782122,0.07455697837659014,5.410728388537838
11,11,nan,data/11,120.26166042879584,7214,21.721163104015808,32.35301531003347,80.12068027112272,212.23245314201674,0.09734780689267723,31.8487499704501,47.52779972172271,1.0055677938279644,0.008314049357740263,0.491405600221791,1038.9822637388402,2.850068706282992,341,341,9.320160087821044,9.667257606264748,0.3536617280125246,0.4006956529370103,1.132991277254688,0.49140560022179103,0.5982404692082112,0.40175953079178883,0.19648093841642228,49819,1002.7517580986023,1089.294967353344,0.10411644218194278,9.320160087821044
12,12,nan,data/12,108.52666257103364,6511,26.68961733092347,47.77794731047331,138.2752686801138,179.4362101478186,0.12981570248433075,67.50798198521005,82.05511167209185,1.0849682162896175,0.009212910358382924,0.536783904162187,2311.7443929564993,1.8304052185029538,198,198,5.705784544743284,7.988012025845706,0.5463271137403535,0.45765670496118643,0.8376972210438225,0.5364991547564162,0.5808080808080808,0.41919191919191917,0.16161616161616163,44002,1126.8446865677834,764.7622821629047,0.10868491759894193,5.705784544743284
13,13,nan,data/13,90.49163437884378,5420,15.414126909404498,16.61845837635151,49.7447307368516,85.45354906298599,0.17820483955160998,31.509972868831888,37.42260404334985,0.9809951321900942,0.011048706380627826,0.3007380073800738,231.76607278592746,2.391488925406184,175,175,8.782824885977398,9.720580641002524,0.4445376850320228,0.7001633950928668,1.5750372098204222,0.30073800738007395,0.3620689655172414,0.6379310344827587,0.27586206896551724,26936,575.7353281974794,320.6728713512423,0.046970216710566094,8.782824885977398
14,14,nan,data/14,268.1083307429282,16085,5.728280018928066,8.683194407256861,26.92746695339246,72.2481672791063,0.07583801157243635,15.83294460184679,12.170246135356727,1.0463573559740416,0.003729603729602569,0.4364936276033572,75.18237285103513,1.8508919997123299,495,495,5.424351918254686,7.1410245907487315,0.5398612224530854,0.5622635343427141,1.0414964271518419,0.43649362760335736,0.9191919191919192,0.08080808080808081,0.8383838383838383,112105,388.3786696195602,377.86999464035034,0.07040691074341975,5.424351918254686
15,15,nan,data/15,259.50666302672147,15568,6.00680838414028,12.252360562326837,34.47884828267997,77.38610429477542,0.06954782841303314,29.199622407954752,29.480828804890002,1.0589349534801342,0.0038532180792995763,0.5480472764645427,148.38058061061008,3.8566355765222444,989,989,11.37902486475591,9.78807449073297,0.25935150094210346,0.32109177936243727,1.2380563759841763,0.548047276464543,0.775530839231547,0.224469160768453,0.5510616784630941,107660,511.3989316225052,365.4940152168274,0.07946123763462382,11.37902486475591
16,16,nan,data/16,252.45788754598,11418,10.110450446318456,10.452447760460057,25.806690717350445,76.84687613354951,0.1266390828326805,14.130230827272431,17.95797085282977,0.9698306776891513,0.0039607097591888955,0.22420739183744964,113.05739795139469,1.270924104105671,320,320,3.8837214397651723,4.759202920130664,0.786829045707402,0.9008444164853076,1.1449048829601856,0.22305060959564957,0.346875,0.653125,0.30625,79618,804.0410842895508,330.5601199269295,0.03157736133455448,3.8837214397651723
17,17,nan,data/17,230.55495373054993,13796,5.1646660679354195,13.010820990279578,32.192415695651356,88.02042433856295,0.0547371630074285,33.0477125028274,28.4828903474525,1.1577990197675547,0.004337046326883693,0.31596114815888665,137.16127557035225,1.6702901094122162,385,385,5.7804474718203664,7.3841654898419264,0.5993589668326763,0.8796082761980504,1.4675817412832861,0.3159611481588867,0.9012987012987013,0.0987012987012987,0.8025974025974026,74991,552.190979540348,357.196178406477,0.03749229902824164,5.7804474718203664
18,18,nan,data/18,133.01166520486154,7981,19.11155947204991,26.360722876373504,78.72834804111434,139.82349963580666,0.1301977581575311,34.8648878548166,43.91792036411483,1.0126163349375685,0.00751719558490048,0.46134569602806663,691.8029332684946,2.793277273585188,370,370,10.328194143927103,10.322472271179956,0.3571677285268865,0.41911320885794034,1.1734352669165933,0.4613456960280667,0.6081081081081081,0.3918918918918919,0.21621621621621623,55503,805.2059000730515,634.849234521389,0.07508226755453704,10.328194143927103
19,19,nan,data/19/v_9 files,85.52499512765543,5131,19.515741452287592,25.54002370651456,58.38581310495296,161.96301416938653,0.11436325850885068,43.47975374093982,47.73918591871855,0.9809077033139298,0.011690209449584116,0.3679594620931592,649.2312824800151,1.2221946315806265,105,105,3.448473934588297,5.285370409190829,0.8106535844214867,0.6763251900781768,0.834296181593804,0.3679594620931592,0.3619047619047619,0.638095238095238,0.2761904761904762,35567,774.717435836792,768.854796409607,0.09037580331990125,3.448473934588297
