,count,mean,std,min,25%,50%,75%,max
bite_id,348.0,173.5,100.60318086422517,0.0,86.75,173.5,260.25,347.0
start_frame,348.0,4503.787356321839,2746.062442888569,0.0,2159.0,4462.0,6553.0,9868.0
end_frame,348.0,4532.163793103448,2752.417344485423,113.0,2193.0,4492.5,6567.5,10222.0
start_time_sec,348.0,121.60167127231217,74.14332783821513,0.0,58.29271844027113,120.47341810119954,176.9301454094936,266.4347130933745
end_time_sec,348.0,122.36783136478489,74.31490935257412,3.05098526343244,59.21071400625966,121.29691412363042,177.32164351851813,275.9926669274903
duration_sec,348.0,0.7931599620605695,0.819564195198907,0.0539997391757954,0.3712482068335934,0.539997391757954,1.0057451421491892,9.584953703703682
n_chews,348.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,348.0,2.9260039946040037,3.7946921937497127,0.104330185717391,0.9944202712270174,1.8518607964836904,2.696390720154824,18.518607964836903
avg_chew_time_sec,348.0,0.40127392387530714,0.7559815913576767,0.0269998695878977,0.0809996087636931,0.1889990871152839,0.3779981742305678,9.584953703703682
mouth_open_frames,348.0,14.862068965517242,27.9994534379727,1.0,3.0,7.0,14.0,355.0
