,count,mean,std,min,25%,50%,75%,max
frame,10223.0,5111.0,2951.2702350005156,0.0,2555.5,5111.0,7666.5,10222.0
time_sec,10223.0,137.99633346374515,79.68391146365812,0.0,68.99816673187257,137.99633346374517,206.99450019561772,275.9926669274903
has_face,10223.0,0.945221559229189,0.2275584068401131,0.0,1.0,1.0,1.0,1.0
mouth_open_px,9663.0,26.889436434403123,43.54030455643258,0.0138667812228177,1.304921151157389,3.5642614801906247,32.14096549524341,243.466546425987
mouth_width_px,9663.0,172.32674318903912,38.209374260947584,66.95935867798082,149.6593847407342,163.64938391212618,184.63386130832424,396.74215354429367
jaw_left_y_px,9663.0,288.7597801342343,138.36920877526032,22.31902725622058,238.75926220417023,279.2258671820164,317.7641212940216,1233.053871512413
jaw_right_y_px,9663.0,413.30161038409517,125.69904724976675,149.181337505579,356.5158368498087,406.9969440996647,456.32610903680325,1284.9095460176468
mouth_open_smooth,10223.0,29.12459214187707,44.84388489105643,0.0138667812228177,1.3722905969948624,4.257307186175383,38.09907578791703,243.466546425987
mouth_is_open,10223.0,0.5059180279761323,0.49998943046032984,0.0,0.0,1.0,1.0,1.0
phase_open,10223.0,0.0,0.260562430672252,-1.0,0.0,0.0,0.0,1.0
bite_id,10223.0,193.68707815709675,105.53518190510752,0.0,101.0,197.0,285.0,347.0
