,count,mean,std,min,25%,50%,75%,max
frame,21438.0,10718.5,6188.761871327738,0.0,5359.25,10718.5,16077.75,21437.0
time_sec,21438.0,178.9204951544511,103.30702415552047,0.0,89.46024757722554,178.9204951544511,268.3807427316766,357.8409903089022
has_face,21438.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
mouth_open_px,21438.0,5.840732473786454,9.880964231003633,0.0588619594940739,1.2227960507410762,2.166246457844713,4.792036961115172,78.90705908268991
mouth_width_px,21438.0,94.01227942206174,10.80646087127104,64.02017279566238,87.39426556190925,93.68630692745057,100.29229335584527,140.85222665140574
jaw_left_y_px,21438.0,242.03665964699513,28.724330971423793,151.9769024848938,226.71195477247238,240.49844205379486,249.86212491989136,364.3650162220001
jaw_right_y_px,21438.0,234.14937410756983,25.779198057735623,150.27851700782776,221.21307492256165,234.65618044137955,246.85591712594032,325.1183009147644
mouth_open_smooth,21438.0,5.840732473786454,9.880964231003633,0.0588619594940739,1.2227960507410762,2.166246457844713,4.792036961115172,78.90705908268991
mouth_is_open,21438.0,0.8219516745965109,0.3825623427253477,0.0,1.0,1.0,1.0,1.0
phase_open,21438.0,4.664614236402649e-05,0.14013900185236164,-1.0,0.0,0.0,0.0,1.0
bite_id,21438.0,98.82213825916597,58.994692057535055,0.0,45.0,87.0,150.0,211.0
