,count,mean,std,min,25%,50%,75%,max
bite_id,211.0,106.0,61.05462035478287,1.0,53.5,106.0,158.5,211.0
start_frame,211.0,11397.483412322275,6387.397971113919,30.0,6552.5,11634.0,16691.5,21437.0
end_frame,211.0,11497.943127962086,6375.988939659081,128.0,6603.0,11807.0,16800.0,21437.0
start_time_sec,211.0,190.25454827143204,106.62279309047335,0.500780412803427,109.37878849648186,194.202644085169,278.6258753436134,357.8409903089022
end_time_sec,211.0,191.93149020037265,106.43234577441865,2.1366630946279552,110.2217688580343,197.0904777990021,280.4370311699191,357.8409903089022
duration_sec,211.0,1.6936346093674197,2.5080274298794794,0.0166926804267809,0.4673950519498652,1.034946186460416,1.8612338675860705,25.840269300656836
n_chews,211.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,211.0,2.8137731200476868,6.352501273203204,0.0386992870842325,0.537375249341328,0.9662338130063224,2.139517728799714,59.906496406391994
avg_chew_time_sec,211.0,1.394036596209982,2.4765844422986865,0.0166926804267809,0.2003121651213708,0.6009364953641124,1.4856485579835002,25.55649373340156
mouth_open_frames,211.0,83.51184834123222,148.36349699269257,1.0,12.0,36.0,89.0,1531.0
