,count,mean,std,min,25%,50%,75%,max
frame,4251332.0,4446.5,2567.47693281911,0.0,2223.0,4446.5,6670.0,8893.0
time_sec,4251332.0,177.85999999999999,102.6990773127644,0.0,88.92,177.86,266.8,355.72
landmark,4251332.0,238.5,137.9864286031645,0.0,119.0,238.5,358.0,477.0
x_norm,4251332.0,0.49165406616664836,0.04805985937970642,0.3098399043083191,0.4578613191843033,0.4894490838050842,0.5240129381418228,0.6334326863288879
y_norm,4251332.0,0.5822036926358168,0.07311131590605577,0.2962411940097809,0.5287787765264511,0.579160064458847,0.6394501030445099,0.7918687462806702
z_norm,4251332.0,4.0925976078798244e-05,0.0202089238117842,-0.0512586906552314,-0.012620893307030149,-0.0026098153321072,0.007878509582951625,0.1139601916074752
x_px,4251332.0,629.3172046933099,61.51662000602421,396.5950775146485,586.0624885559082,626.4948272705078,670.7365608215332,810.7938385009766
y_px,4251332.0,419.1866586977881,52.640147452360154,213.29365968704224,380.7207190990448,416.9952464103699,460.4040741920471,570.1454973220825
