,count,mean,std,min,25%,50%,75%,max
frame,13381.0,6690.0,3862.9063108839005,0.0,3345.0,6690.0,10035.0,13380.0
time_sec,13381.0,223.0116657947833,128.7702797009566,0.0,111.50583289739164,223.01166579478328,334.5174986921749,446.02333158956657
has_face,13381.0,0.9638293102159778,0.18672165525974674,0.0,1.0,1.0,1.0,1.0
mouth_open_px,12897.0,3.8990956152380916,8.575686871836169,0.0009045369633446,0.3991214783437929,0.7633009453020262,1.64727352082309,64.27088675399274
mouth_width_px,12897.0,65.42083142481289,6.835350257998724,35.941957064689284,61.84401687744081,65.96450689004902,69.5224449333152,96.669235444643
jaw_left_y_px,12897.0,422.88394288577797,107.36956611466174,14.881811253726482,317.7025294303894,428.7286019325256,521.3228130340576,736.0414552688599
jaw_right_y_px,12897.0,416.1696201120942,108.00336097332229,31.59813478589058,308.05320739746094,406.6933965682984,520.9040021896362,725.9701681137085
mouth_open_smooth,13381.0,4.0085980917066975,8.494863334794601,0.0009045369633446,0.4009418274118321,0.7793268735691715,2.091309786926104,64.27088675399274
mouth_is_open,13381.0,0.7485987594350199,0.4338349023266648,0.0,0.0,1.0,1.0,1.0
phase_open,13381.0,0.0,0.21733540582429994,-1.0,0.0,0.0,0.0,1.0
bite_id,13381.0,155.30296689335626,88.23878366465007,0.0,79.0,159.0,232.0,316.0
