,count,mean,std,min,1%,5%,50%,95%,99%,max
frame,4251332.0,4446.5,2567.47693281911,0.0,88.0,444.0,4446.5,8449.0,8805.0,8893.0
time_sec,4251332.0,177.85999999999999,102.6990773127644,0.0,3.52,17.76,177.86,337.96,352.2,355.72
landmark,4251332.0,238.5,137.9864286031645,0.0,4.0,23.0,238.5,454.0,473.0,477.0
x_norm,4251332.0,0.49165406616664836,0.04805985937970642,0.3098399043083191,0.38967418044805524,0.41461165398359295,0.4894490838050842,0.5738409101963042,0.6057406294345856,0.6334326863288879
y_norm,4251332.0,0.5822036926358168,0.07311131590605577,0.2962411940097809,0.41994273930788034,0.46454357057809825,0.579160064458847,0.6985824853181838,0.7330132621526719,0.7918687462806702
z_norm,4251332.0,4.0925976078798244e-05,0.0202089238117842,-0.0512586906552314,-0.03545139525085683,-0.028302572108805154,-0.0026098153321072,0.04084962923079724,0.06905625879764575,0.1139601916074752
x_px,4251332.0,629.3172046933099,61.51662000602421,396.5950775146485,498.78295097351076,530.702917098999,626.4948272705078,734.5163650512695,775.3480056762696,810.7938385009766
y_px,4251332.0,419.1866586977881,52.640147452360154,213.29365968704224,302.35877230167387,334.4713708162308,416.9952464103699,502.9793894290923,527.7695487499238,570.1454973220825
