,count,mean,std,min,1%,5%,50%,95%,99%,max
frame,62258.0,4446.5,2567.4972507583625,0.0,88.57000000000005,444.0,4446.5,8449.0,8804.43,8893.0
time_sec,62258.0,177.85999999999999,102.6998900303345,0.0,3.542800000000002,17.76,177.86,337.96,352.1772,355.72
landmark_id,62258.0,135.28571428571428,117.55544731096444,13.0,13.0,13.0,93.0,323.0,323.0,323.0
x_norm,62258.0,0.4878127556409687,0.05304009358440811,0.3098399043083191,0.3759445464611053,0.39137077331542963,0.4842553436756134,0.5728317707777022,0.6147453773021698,0.629124104976654
y_norm,62258.0,0.6392838715570639,0.05706912841922208,0.4588510394096374,0.5083685988187789,0.5501170933246613,0.6436049342155457,0.7414746463298797,0.763109660744667,0.7918687462806702
z_norm,62258.0,0.01963940232874851,0.033797641930476595,-0.0306700021028518,-0.019295277968049012,-0.01484190472401672,0.00543116824701425,0.08172257132828227,0.08972683832049369,0.1139601916074752
x_px,62258.0,624.40032722044,67.89131978804237,396.5950775146485,481.2090194702148,500.95458984375,619.8468399047852,733.2246665954589,786.8740829467773,805.2788543701172
y_px,62258.0,460.284387521086,41.0897724618399,330.37274837493896,366.0253911495209,396.0843071937561,463.39555263519287,533.8617453575134,549.4389557361603,570.1454973220825
