,count,unique,top,freq,mean,std,min,25%,50%,75%,max
bite_id,122.0,,,,60.5,35.36240942017385,0.0,30.25,60.5,90.75,121.0
start_frame,122.0,,,,1869.983606557377,1215.8282079035641,0.0,811.75,1906.5,3009.5,4286.0
end_frame,122.0,,,,1906.5573770491803,1228.3282804076694,31.0,816.5,1937.5,3014.75,4583.0
start_time_sec,122.0,,,,62.33618636097031,40.52981720536578,0.0,27.059809027777725,63.55346585951121,100.32213768906321,142.87445826061634
end_time_sec,122.0,,,,63.55537853212397,40.94650901293518,1.03338968877254,27.218150996218675,64.58685554828375,100.49714723312951,152.7749981820823
duration_sec,122.0,,,,1.2525273224043694,1.9810267350692834,0.0666703025014542,0.2666812100058168,0.6000327225130878,1.5834196844095372,13.367395651541566
n_chews,122.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,122.0,,,,3.163096308449226,3.8207070887993977,0.0748088876897032,0.6335677249069336,1.6665757757539434,3.749795495446373,14.999181981785492
avg_chew_time_sec,122.0,,,,0.9445870317521605,1.9054278076952615,0.0333351512507271,0.1000054537521813,0.2833487856311804,1.1167275668993577,12.667357475276296
chew_side,122,2,left,83,,,,,,,
mouth_open_frames,122.0,,,,28.33606557377049,57.1597168815516,1.0,3.0,8.5,33.5,380.0
