,count,mean,std,min,1%,5%,50%,95%,99%,max
bite_id,336.0,167.5,97.13907555664713,0.0,3.35,16.75,167.5,318.25,331.65,335.0
start_frame,336.0,4568.5952380952385,2599.888528581924,0.0,162.65,503.25,4638.0,8530.75,8762.849999999999,8947.0
end_frame,336.0,4594.261904761905,2598.839730176033,80.0,194.0,517.25,4665.5,8541.0,8799.0,8959.0
start_time_sec,336.0,144.83276137253193,82.42118533842401,0.0,5.156300221304754,15.953938434501179,147.0330182994863,270.4402589172796,277.79825019526805,283.63613944060023
end_time_sec,336.0,145.64644129268862,82.38793652531363,2.536145205683248,6.150152123781877,16.39776384549575,147.9048182139399,270.7652025217577,278.9442708100862,284.0165612214527
duration_sec,336.0,0.8453817352277492,0.9026627928505108,0.0634036301420812,0.0634036301420812,0.0951054452131218,0.5706326712787307,2.536145205683248,4.748931897641873,6.657381164918526
n_chews,336.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,336.0,2.977471772045702,3.3711969148310694,0.1502092151895344,0.2108891222219263,0.3942991898725277,1.752440843877901,10.514645063267409,15.771967594901112,15.771967594901112
avg_chew_time_sec,336.0,0.6134678618806726,0.8839737707811781,0.0317018150710406,0.0317018150710406,0.0317018150710406,0.2853163356393653,2.3617852227925242,4.717230082570833,6.34036301420812
mouth_open_frames,336.0,19.351190476190474,27.884011335006566,1.0,1.0,1.0,9.0,74.5,148.79999999999973,200.0
