,count,mean,std,min,1%,5%,50%,95%,99%,max
frame,8960.0,4479.5,2586.67353950977,0.0,89.59,447.95000000000005,4479.5,8511.05,8869.41,8959.0
time_sec,8960.0,142.0082806107264,82.00224619869275,0.0,2.8401656122145273,14.200828061072636,142.00828061072636,269.81573316038003,281.1763956092382,284.0165612214527
has_face,8960.0,0.99609375,0.06238129144079683,0.0,1.0,1.0,1.0,1.0,1.0,1.0
mouth_open_px,8925.0,15.029311139397976,20.256276768449442,0.0337799473399814,0.2998778125310429,0.6617322762191797,4.735930929885903,60.4205736208661,83.18410005853589,111.0851986348338
mouth_width_px,8925.0,95.87692327436679,18.17597620541566,30.925626773416493,48.2101725050635,64.0690858610296,96.04983594037893,125.38082567100771,144.66534089207587,170.01358590168098
jaw_left_y_px,8925.0,227.97255036366087,40.359212596773574,22.15712022781372,52.78225341796875,183.92688560485843,226.9244213104248,283.84080505371094,297.62582168579104,361.8435325622559
jaw_right_y_px,8925.0,238.11674376931177,40.12900301980743,50.18747448921204,62.554135723114015,191.03784255981444,240.1536808013916,290.1380271911621,312.64753929138186,331.9687843322754
mouth_open_smooth,8960.0,15.143916429450051,20.3764152931209,0.0337799473399814,0.30004575423211116,0.6632206366154215,4.7512969957361575,60.89338088425138,83.2542453332073,111.0851986348338
mouth_is_open,8960.0,0.7256696428571429,0.4462011124651489,0.0,0.0,0.0,1.0,1.0,1.0,1.0
phase_open,8960.0,0.0,0.2734687043689396,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0
bite_id,8960.0,163.67767857142857,96.6401060347012,0.0,1.0,14.0,159.0,315.0499999999993,333.0,335.0
